Epoch 124, train loss 0.0676, test rmse 0.526091
Epoch 125, train loss 0.0674, test rmse 0.533105
Epoch 126, train loss 0.0678, test rmse 0.527980
Epoch 127, train loss 0.0647, test rmse 0.530879
Epoch 128, train loss 0.0658, test rmse 0.527256
Epoch 129, train loss 0.0666, test rmse 0.529377
Epoch 130, train loss 0.0661, test rmse 0.534845
Epoch 131, train loss 0.0653, test rmse 0.529922
Epoch 132, train loss 0.0653, test rmse 0.526421
Epoch 133, train loss 0.0657, test rmse 0.526107
Epoch 134, train loss 0.0658, test rmse 0.531241
Epoch 135, train loss 0.0648, test rmse 0.527255
Epoch 136, train loss 0.0642, test rmse 0.525724
Epoch 137, train loss 0.0673, test rmse 0.527135
Epoch 138, train loss 0.0672, test rmse 0.527331
Epoch 139, train loss 0.0652, test rmse 0.525702
Epoch 140, train loss 0.0652, test rmse 0.529682
Epoch 141, train loss 0.0665, test rmse 0.522562
Epoch 142, train loss 0.0674, test rmse 0.526750
Epoch 143, train loss 0.0651, test rmse 0.526834
Epoch 144, train loss 0.0644, test rmse 0.523472
Epoch 145, train loss 0.0656, test rmse 0.526481
Epoch 146, train loss 0.0654, test rmse 0.524088
Epoch 147, train loss 0.0669, test rmse 0.524023
Epoch 148, train loss 0.0654, test rmse 0.523066
Epoch 149, train loss 0.0642, test rmse 0.522316
Epoch 150, train loss 0.0642, test rmse 0.521578
Epoch 151, train loss 0.0655, test rmse 0.521432
Epoch 152, train loss 0.0670, test rmse 0.521709
Epoch 153, train loss 0.0644, test rmse 0.521841
Epoch 154, train loss 0.0664, test rmse 0.522106
Epoch 155, train loss 0.0664, test rmse 0.522511
Epoch 156, train loss 0.0655, test rmse 0.522464
Epoch 157, train loss 0.0661, test rmse 0.522507
Epoch 158, train loss 0.0652, test rmse 0.522692
Epoch 159, train loss 0.0703, test rmse 0.523518
Epoch 160, train loss 0.0647, test rmse 0.523607
Epoch 161, train loss 0.0647, test rmse 0.523444
Epoch 162, train loss 0.0668, test rmse 0.523607
Epoch 163, train loss 0.0645, test rmse 0.523620
Epoch 164, train loss 0.0676, test rmse 0.524163
Epoch 165, train loss 0.0656, test rmse 0.524494
Epoch 166, train loss 0.0658, test rmse 0.524987
Epoch 167, train loss 0.0645, test rmse 0.524820
Epoch 168, train loss 0.0646, test rmse 0.524606
Epoch 169, train loss 0.0657, test rmse 0.524457
Epoch 170, train loss 0.0633, test rmse 0.523956
Epoch 171, train loss 0.0675, test rmse 0.524145
Epoch 172, train loss 0.0680, test rmse 0.524393
Epoch 173, train loss 0.0662, test rmse 0.524707
Epoch 174, train loss 0.0650, test rmse 0.524644
Epoch 175, train loss 0.0624, test rmse 0.524066
Epoch 176, train loss 0.0651, test rmse 0.523757
Epoch 177, train loss 0.0679, test rmse 0.524097
Epoch 178, train loss 0.0654, test rmse 0.524090
Epoch 179, train loss 0.0677, test rmse 0.524035
Epoch 180, train loss 0.0652, test rmse 0.523997
Epoch 181, train loss 0.0650, test rmse 0.524018
Epoch 182, train loss 0.0644, test rmse 0.523868
Epoch 183, train loss 0.0655, test rmse 0.523995
Epoch 184, train loss 0.0651, test rmse 0.524151
Epoch 185, train loss 0.0669, test rmse 0.524572
Epoch 186, train loss 0.0632, test rmse 0.524186
